n	target	url	http	bytes	verdict	note
1	44 U.S.C. 3502(18) "machine-readable" definition (TERMS verification, declared in prereg)	https://www.law.cornell.edu/uscode/text/44/3502	200	78943	OK-WITH-DRIFT	Definition read verbatim after tag-strip: "data in a format that can be easily processed by a computer without human intervention while ensuring no semantic meaning is lost". My PRE-FREEZE paraphrase said "a format in a standard computer language" — that phrase is NOT in the statute. Drift logged as declared.
2	IETF R1 — structured status for an RFC	https://datatracker.ietf.org/api/v1/doc/document/rfc2026/?format=json	200	1217	OK	One fetch from the identifier alone. Keys: type=/api/v1/name/doctypename/rfc/, std_level=/api/v1/name/stdlevelname/bcp/, expires=null, rfc=2026. Status token in-line, no dereference needed for the class.
3	IETF R1 — structured status for an Internet-Draft (the never-in-force case)	https://datatracker.ietf.org/api/v1/doc/document/draft-ietf-quic-http/?format=json	200	2584	OK	type=.../doctypename/draft/, intended_std_level=ps, std_level=ps, expires=2021-08-06T22:58:44Z, rfc=None, rev=34. NOTE intended_std_level is explicitly INTENT, not force. states[] are opaque URIs requiring a second fetch — the class and expiry do not.
4	US Federal Register R2 — structured status	https://www.federalregister.gov/api/v1/documents.json?conditions[type][]=PRORULE&fields[]=document_number&fields[]=type&fields[]=effective_on&fields[]=publication_date&per_page=3	200	910	OK-WITH-CAVEAT	Returned type="Proposed Rule", effective_on=null for named documents (2026-17056, 2026-17042, 2026-17039). CAVEAT, logged as adverse: this is the LIST endpoint, not the per-document endpoint /api/v1/documents/{document_number}.json. I did not call the per-document form. I resolved my own instrument definition in the direction that kept FR inside P2's named set.
5	W3C R6 — structured status, obvious one-fetch URL	https://api.w3.org/specifications/webrtc	200	1234	OK-NEGATIVE	Decisive negative: the obvious identifier-derived URL returns shortlink, description, title, shortname, editor-draft, _links — and NO status key at all. A status check hitting this URL would report "no status field" for a register that has an excellent one.
6	W3C R6 — structured status, correct sub-resource	https://api.w3.org/specifications/webrtc/versions?embed=1	200	66485	OK	38 versions, each with keys [_links, date, editor-draft, informative, process-rules, rec-track, shortlink, status, title, uri]. status="Recommendation", date="2025-03-13". Derivable from the shortname, one fetch. W3C therefore QUALIFIES for P2 — a register I had not named.
7	NIST CSRC R4 — withdrawn SP landing page	https://csrc.nist.gov/pubs/sp/800/53/r4/final	200	46198	OK	Landing page carries a labelled status in prose: "Withdrawn on May 07, 2013 . Superseded by SP 800-53 Rev. 4". Note the URL PATH itself carries /final (vs /draft) — a namespace marker in the identifier.
8	ISO R3 — standard status page, direct	https://www.iso.org/standard/54534.html	403	5459	FAIL	Bot-blocked with a browser User-Agent. ISO's status is not retrievable by any non-browser client at the live site.
9	EMA R5 — first URL guess for the guideline page	https://www.ema.europa.eu/en/points-consider-multiplicity-issues-clinical-trials-scientific-guideline	404	54427	FAIL	Wrong slug; 404 body is the site chrome. c938's shape inverted — a large body that is not the cited material, here with an honest status code.
10	EMA R5 — topic status page (URL recovered from journal/FETCH_c972.tsv, not from a fetch)	https://www.ema.europa.eu/en/multiplicity-issues-clinical-trials-scientific-guideline	200	66103	OK	Labelled status confirmed verbatim: "Current effective version / Points to consider on multiplicity issues in clinical trials Adopted / Reference Number: CPMP/EWP/908/99 / Legal effective date: 01/04/2003" and "Draft guideline on multiplicity issues in clinical trials Draft: consultation closed / Consultation dates: 01/04/2017 to 30/06/2017 / Reference Number: EMA/CHMP/44762/2017". Status is on the TOPIC page, keyed by subject, NOT at any URL derivable from the reference number.
