id	provision	source_kind	verbatim_fragment	A1_trigger	A2_incidence	A3_forum	A4_cure	in_set	note
R1	FRCP 37(c)(1) limb 1	primary	"the party is not allowed to use that information or witness to supply evidence on a motion, at a hearing, or at a trial, unless the failure was substantially justified or is harmless"	AUTO	POWER	RECOGNISED	FORUM	IN	no actor named; no motion named; consequence stated as a disability of the lapsing party
R2	FRCP 37(c)(1) limb 2	primary	"In addition to or instead of this sanction, the court, on motion and after giving an opportunity to be heard: (A) may order payment of the reasonable expenses"	ACT	NEITHER	REQUIRED	FORUM	IN	SCHEME GAP: obligation lands on the LAPSING party, which is neither of my two named values. Coded NEITHER per the pre-registered residual, NOT re-drawn.
R3	FRCP 12(h)(1)	primary	"A party waives any defense listed in Rule 12(b)(2)-(5) by: (A) omitting it from a motion in the circumstances described in Rule 12(g)(2); or (B) failing to either: (i) make it by motion under this rule; or (ii) include it in a responsive pleading"	AUTO	POWER	RECOGNISED	NONE	IN	lapsing party is the grammatical SUBJECT of the state-change verb; it waives itself
R4	UCC 2-607(3)(a)	primary	"the buyer must within a reasonable time after he discovers or should have discovered any breach notify the seller of breach or be barred from any remedy"	AUTO	POWER	RECOGNISED	NONE	IN	origin is SELF-ANCHORED ("after he discovers") and the register tolerates it because the consequence needs no one
R5	UCC 2-607(3)(b)	primary	"he must so notify the seller within a reasonable time after he receives notice of the litigation or be barred from any remedy over for liability established by the litigation"	AUTO	POWER	RECOGNISED	NONE	IN	origin here is a RECEIPT, not self-anchored
R6	UCC 2-607(5)(a)	primary	"then unless the seller after seasonable receipt of the notice does come in and defend he is so bound"	AUTO	POWER	RECOGNISED	NONE	IN	armed by a second party's dated notice RECEIVED (c959 addressee shape) but discharged by nobody
R7	UCC 2-607(5)(b)	primary	"then unless the buyer after seasonable receipt of the demand does turn over control the buyer is so barred"	AUTO	POWER	RECOGNISED	NONE	IN	same: written demand received arms it; expiry alone completes it
R8	28 USC 1658(a)	primary	"a civil action arising under an Act of Congress enacted after the date of the enactment of this section may not be commenced later than 4 years after the cause of action accrues"	AUTO	POWER	RECOGNISED	NONE	IN	textual disability; FRCP 8(c)(1) makes its INVOCATION an adverse party's affirmative defence
R9	28 USC 1658(b)	primary	"may be brought not later than the earlier of- (1) 2 years after the discovery of the facts constituting the violation; or (2) 5 years after such violation"	AUTO	POWER	RECOGNISED	NONE	IN	EARLIER-OF join, act-anchored repose limb backstopping a discovery-anchored limb (c968 R-shape, cited as context only, origin half not reopened)
R10	EPC Art. 86(1) sent. 3	primary	"If a renewal fee is not paid in due time, the application shall be deemed to be withdrawn."	AUTO	POWER	FREE	FORUM	IN	DECLARED GENRE CONTROL, non-adversarial: no opposing party exists at this stage and no tribunal acts
R11	EPC Art. 122(4)	primary	"Re-establishment of rights shall be ruled out in respect of the time limit for requesting re-establishment of rights."	AUTO	POWER	FREE	NONE	IN	the cure has no cure: this is where the cure-regress is explicitly terminated
R12	FRCP 41(b) limb 1	extra	"If the plaintiff fails to prosecute or to comply with these rules or a court order, a defendant may move to dismiss the action or any claim against it."	ACT	NEITHER	REQUIRED	FORUM	IN	SCHEME GAP 2: consequence is a POWER CONFERRED ON THE ADVERSE PARTY, again neither named value. NEGATIVE-CONTROL row for P5.
R13	FRCP 41(b) limb 2	extra	"Unless the dismissal order states otherwise, a dismissal under this subdivision (b) and any dismissal not under this rule-except one for lack of jurisdiction, improper venue, or failure to join a party under Rule 19-operates as an adjudication on the merits."	AUTO	POWER	RECOGNISED	FORUM	IN	default rule; the order may displace it, but only at dismissal time, never afterwards
X1	FRCP 12(h)(3)	primary	"If the court determines at any time that it lacks subject-matter jurisdiction, the court must dismiss the action."	ACT	DUTY	REQUIRED	NONE	OUT	OUT-OF-SET by the pre-registered UNIT: attaches its consequence to a DETERMINATION, not to a lapse. Kept as the contrast case: the one defence that cannot lapse is the one carrying a duty on the forum.
X2	FRCP 8(c)(1)	extra	"In responding to a pleading, a party must affirmatively state any avoidance or affirmative defense, including: ... statute of limitations ... waiver."	n/a	n/a	n/a	n/a	OUT	OUT-OF-SET by pre-registered exclusion (b): states a duty and attaches NO consequence in its own text. Brock-directory in form. It is nonetheless what makes R8/R9 adverse-party-dependent.
X3	EPC Art. 122(2)	primary	"The European Patent Office shall grant the request, provided that the conditions of paragraph 1 and any other requirements laid down in the Implementing Regulations are met. Otherwise, it shall reject the request."	n/a	n/a	n/a	n/a	OUT	OUT-OF-SET: cure-adjudication, not a lapse consequence. Supplies the A4=FORUM coding for R10.
P1	42 CFR 488.8(b)(2)	prior	deemed-approval on agency silence	-	-	-	-	PRIOR	FOUND AT c949. Declared prior, excluded from every count in this cycle.
P2	5 USC 552(a)(2) flush	prior	unindexed record may be relied on only if indexed	-	-	-	-	PRIOR	FOUND AT c975 s6(a). Declared prior, excluded from every count in this cycle.
