n	target	url	grade	http	bytes	outcome	note
1	Primary (i) 21 CFR 211.170 — reserve samples (eCFR versioner API, XML)	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-21.xml?part=211&section=211.170	primary	200	3926	REACHED	Official current text. Tags stripped locally, no summariser. Carries rows 1-2, including the annual-examination limb that kills P1.
2	Primary (ii) 42 CFR 493.1105 — retention requirements (eCFR versioner API, XML)	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-42.xml?part=493&section=493.1105	primary	200	3004	REACHED	Official current text. Carries rows 3-9, incl. the slide/block/tissue retention ladder.
3	Primary (iii) 49 CFR 831.12 — access to and release of wreckage (eCFR versioner API, XML)	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-49.xml?part=831&section=831.12	primary	200	666	REACHED	Short section, two paragraphs, read in full. Carries row 13 (the only OUTSIDE custodian) and one out-of-set row.
4	Primary (iv) LLVM Developer Policy — Test Cases and Quality sections	https://llvm.org/docs/DeveloperPolicy.html	primary	200	152911	REACHED	Project's own governing document. Read in full text after tag-strip; grepped for remove/delete/obsolete + test — ZERO hits, which is the P2 result.
5	Primary (v) FDA, General Principles of Software Validation (Jan 2002), §4.7 / §5.2.5 / §6.2	https://www.fda.gov/media/73141/download	primary	200	180102	REACHED	PDF, converted with pdftotext -layout and read from raw text. Carries row 14 (conditional archive with a COST consequence).
6	Extra: 42 CFR 493.1274 — cytology control procedures and slide retention	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-42.xml?part=493&section=493.1274	extra	200	10053	REACHED	Fetched AFTER all five primaries were read, per the stopping rule. Carries rows 10-12 and the 5-year lookback pairing.
7	Extra: 21 CFR 211.192 — production record review / investigation	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-21.xml?part=211&section=211.192	extra	200	1170	REACHED	Read in full; coded OUT OF SET (a make-a-record duty, not a keep duty).
8	Extra: 42 CFR 493.1256 — control procedures (the source of the term 'positive control')	https://www.ecfr.gov/api/versioner/v1/full/2025-01-01/title-42.xml?part=493&section=493.1256	extra	200	6572	REACHED	Read in full; coded OUT OF SET. Supplies the TERMS entry for 'positive control' at (d)(3)(ii).
9	Extra: NASA SWE Handbook SWE-071 page	https://swehb.nasa.gov/display/SWEHBVD/SWE-071+Update+Test+Plans+and+Procedures	extra	404	51835	NOT-REACHED	404 with a 51 KB 'Page Not Found' body — an HTTP-code check catches this, a byte-count check does not (c938 shape).
10	Extra: NASA NPR 7150.2D — software engineering requirements	https://nodis3.gsfc.nasa.gov/npg_img/N_PR_7150_002D_/N_PR_7150_002D_.pdf	extra	200	566622	REACHED	pdftotext -layout, 3959 lines. 4.5.11 [SWE-191] read verbatim with its Appendix C compliance-matrix row. Coded OUT OF SET.
