id	provision	register	source_kind	verbatim_fragment	A1_trigger	A2_incidence	A3_forum	A4_cure	LAPSING_PARTY	in_set	note
R1	Reg (EU) No 952/2013 (UCC) Art. 103(1)	EU customs (administrative, supranational)	primary	"No customs debt shall be notified to the debtor after the expiry of a period of three years from the date on which the customs debt was incurred."	AUTO	PWR-LOSS	FREE	NONE	AUTHORITY	IN	No actor named. The power removed is the CUSTOMS AUTHORITY'S own power to notify. English is the authentic EU language version, so no translation issue.
R2	Reg (EU) No 952/2013 (UCC) Art. 124(1)(a)	EU customs (administrative, supranational)	primary	"a customs debt on import or export shall be extinguished in any of the following ways: (a) where the debtor can no longer be notified of the customs debt, in accordance with Article 103"	AUTO	PWR-LOSS	FREE	NONE	AUTHORITY	IN	Extinguishment by operation of law, expressly keyed to R1. Contrast INSIDE the same article: limb (c) "by remission", which is granted on application (Arts. 116 ff.) and would be A4=FORUM — the register puts the enforcer-free and the enforcer-dependent limb in one list, the c978 same-locus shape in a third register.
R3	Abgabenordnung (DE) s. 47	German tax (administrative, national)	primary	"Ansprueche aus dem Steuerschuldverhaeltnis erloeschen insbesondere durch Zahlung (§§ 224, 224a, 225), Aufrechnung (§ 226), Erlass (§§ 163, 227), Verjaehrung (§§ 169 bis 171, §§ 228 bis 232)"	AUTO	PWR-LOSS	FREE	NONE	AUTHORITY	IN	TRANSLATED-CHECKED: official English on the same host renders erloeschen as "shall expire"; German operative verb is erloeschen (extinguished). Coding rests on the German, per the frozen TRANSLATION POLICY. No coding here turns on the English word.
R4	Abgabenordnung (DE) s. 169(1) sent. 1	German tax (administrative, national)	primary	"Eine Steuerfestsetzung sowie ihre Aufhebung oder Aenderung sind nicht mehr zulaessig, wenn die Festsetzungsfrist abgelaufen ist."	AUTO	PWR-LOSS	FREE	NONE	AUTHORITY	IN	THE STRONGEST ROW. Official English: "A tax assessment and its cancellation or amendment shall no longer be permissible once the period for assessment has expired." The state loses its own power to act; c978's keeper stated of an authority. COMPANION CHECK RUN AS PRE-REGISTERED: the AO contains NO plea-of-limitation provision (0 hits for "Einrede der Verjaehrung"; the two "Einrede" hits are Anfechtungsgesetz and Vorausklage), and s. 88 requires the revenue authority to investigate "von Amts wegen". Nothing in the code requires anyone to raise the expiry. FREE stands.
R5	Abgabenordnung (DE) s. 110(1)	German tax (administrative, national)	primary	"War jemand ohne Verschulden verhindert, eine gesetzliche Frist einzuhalten, so ist ihm auf Antrag Wiedereinsetzung in den vorigen Stand zu gewaehren."	ACT	DUTY-FORUM	REQUIRED	n/a-CURE-LIMB	PRIVATE	IN	NEGATIVE-CONTROL row for P3 and the A4 answer for the corpus. "ist ... zu gewaehren" is a DUTY on the authority, not a discretion; s. 110(4) names the decider ("Ueber den Antrag auf Wiedereinsetzung entscheidet die Finanzbehoerde"). A cure exists in this register and it is granted, never self-granted.
R6	Abgabenordnung (DE) s. 110(2)	German tax (administrative, national)	primary	"Der Antrag ist innerhalb eines Monats nach Wegfall des Hindernisses zu stellen. ... Innerhalb der Antragsfrist ist die versaeumte Handlung nachzuholen. Ist dies geschehen, so kann Wiedereinsetzung auch ohne Antrag gewaehrt werden."	AUTO	DUTY-SELF	RECOGNISED	n/a-CURE-LIMB	PRIVATE	IN	CONTESTABLE ROW, flagged as such: the duties fall on the lapsing party and arise from its own lapse. Substantively the closest thing in the corpus to a self-granted cure and STILL NOT ONE - performance of the neglected act dispenses with the APPLICATION, not with the GRANT ("kann ... gewaehrt werden"). This is c978 s.7's "the only honest cure is performance", found in a register.
R7	Abgabenordnung (DE) s. 110(3)	German tax (administrative, national)	primary	"Nach einem Jahr seit dem Ende der versaeumten Frist kann die Wiedereinsetzung nicht mehr beantragt oder die versaeumte Handlung nicht mehr nachgeholt werden, ausser wenn dies vor Ablauf der Jahresfrist infolge hoeherer Gewalt unmoeglich war."	AUTO	PWR-LOSS	RECOGNISED	NONE	PRIVATE	IN	THE CURE HAS A CUT-OFF, AND THE CUT-OFF IS SELF-EXECUTING. Independent non-EPO confirmation of the EPC Art. 122(4) terminator. A3=RECOGNISED not FREE because the barred act is defined by reference to a procedure before the authority; the weakest-value rule was applied and this is the contestable call.
R8	BGB (DE) s. 214(1)	German civil (private law, national)	primary	"Nach Eintritt der Verjaehrung ist der Schuldner berechtigt, die Leistung zu verweigern."	AUTO	PWR-OTHER	FREE	NONE	PRIVATE	IN	FETCHED ADVERSARIALLY and it did the damage it was fetched to do - to my INSTRUMENT, not to my hypothesis. Same word (Verjaehrung) as R3/R4, opposite mechanism: no extinguishment, an entitlement conferred on the OBLIGOR, who is not the lapsing party (the creditor is). Codes A3=FREE on my own axis while being the paradigm of a consequence somebody must invoke. See FINDINGS c981 s.3. ADVERSE (vi) DECLARED: FREE assigned WITHOUT fetching a companion provision - the fetch cap was spent.
X1	Reg (EU) No 952/2013 (UCC) Art. 103(3)(b)	EU customs	primary	"The periods laid down in paragraphs 1 and 2 shall be suspended where: ... (b) the customs authorities communicate to the debtor, in accordance with Article 22(6), the grounds on which they intend to notify the customs debt"	n/a	n/a	n/a	n/a	n/a	OUT	OUT-OF-SET: a tolling provision, attaches its consequence to a communication, not to a lapse. Kept as contrast - the authority's own act stops the clock that binds the authority, and it must be done BEFORE expiry.
X2	Abgabenordnung (DE) s. 171(4)	German tax	primary	"Wird vor Ablauf der Festsetzungsfrist mit einer Aussenpruefung begonnen oder wird deren Beginn auf Antrag des Steuerpflichtigen hinausgeschoben, so laeuft die Festsetzungsfrist fuer die Steuern, auf die sich die Aussenpruefung erstreckt ... nicht ab"	n/a	n/a	n/a	n/a	n/a	OUT	THE DECLARED AT-RISK CANDIDATE FOR A4=SELF (prereg P2), AND THE FROZEN TERMS FENCE FIRED ON THE TEXT'S OWN WORDS: "vor Ablauf der Festsetzungsfrist". Ablaufhemmung prevents an expiry; it does not undo one. Not a cure, therefore not SELF. The fence was written before the fetch and was decided by the statute, not by my judgement.
X3	Abgabenordnung (DE) s. 171(3a) sent. 1	German tax	primary	"Wird ein Steuerbescheid mit einem Einspruch oder einer Klage angefochten, so laeuft die Festsetzungsfrist nicht ab, bevor ueber den Rechtsbehelf unanfechtbar entschieden ist; dies gilt auch, wenn der Rechtsbehelf erst nach Ablauf der Festsetzungsfrist eingelegt wird."	n/a	n/a	n/a	n/a	n/a	OUT	OUT-OF-SET (tolling), kept because it is THE ONLY TEXT IN THE CORPUS where an act performed AFTER expiry changes the effect of that expiry - and the actor is the OTHER party (the taxpayer's appeal), never the lapsing one. A4=SECOND exists in nature; A4=SELF still does not.
X4	BGB (DE) s. 214(2)	German civil	primary	"Das zur Befriedigung eines verjaehrten Anspruchs Geleistete kann nicht zurueckgefordert werden, auch wenn in Unkenntnis der Verjaehrung geleistet worden ist."	n/a	n/a	n/a	n/a	n/a	OUT	OUT-OF-SET: the trigger is a PAYMENT, not a lapse. Excluded rather than counted, though counting it would have added a sixth FREE row.
P1	EPC Art. 86(1) and Art. 122(4)	EPO	prior	renewal-fee lapse; re-establishment ruled out for the re-establishment deadline	-	-	-	-	-	PRIOR	FOUND AT c978. The shelf this cycle exists to break. Excluded from every count.
P2	IETF Internet-Draft six-month expiry	IETF	prior	"Internet-Drafts are draft documents valid for a maximum of six months"	-	-	-	-	-	PRIOR	FOUND AT c980 s.1. A non-EPO self-executing lapse, and therefore exactly what P1 predicted - which is why counting it would be counting my own prior selection. Declared prior in the frozen prereg BEFORE this cycle's first fetch. Not a row.
