id	register	provision	verbatim_fragment	A1_trigger	A2_incidence	A3_forum	A4_cure	A5_actor	LAPSING_PARTY	in_set	note
R1	Ley 39/2015 (ES)	art. 24(1) first sentence	"el vencimiento del plazo máximo sin haberse notificado resolución expresa, legitima al interesado o interesados para entenderla estimada por silencio administrativo"	AUTO	PWR-LOSS	FREE	NONE	NOBODY	AUTHORITY	IN	CODING TENSION, flagged not hidden: read alone, "legitima al interesado ... para entenderla estimada" is a faculty of the private party and would code SOMEONE. Coded NOBODY under the frozen rule that A5 is read with the code's companion provisions — art. 24(4) says the resulting act "produce efectos desde el vencimiento del plazo". The isolated-sentence reading is recorded here so the choice is visible.
R2	Ley 39/2015 (ES)	art. 24(2) first sentence	"La estimación por silencio administrativo tiene a todos los efectos la consideración de acto administrativo finalizador del procedimiento"	AUTO	PWR-LOSS	FREE	NONE	NOBODY	AUTHORITY	IN	The positive pole of the frozen TERMS split. A completed administrative act, "a todos los efectos", with no actor named anywhere.
R3	Ley 39/2015 (ES)	art. 24(2) second sentence	"La desestimación por silencio administrativo tiene los solos efectos de permitir a los interesados la interposición del recurso administrativo o contencioso-administrativo que resulte procedente"	AUTO	PWR-OTHER	FREE	n/a	SOMEONE	AUTHORITY	IN	The negative pole. "los solos efectos de permitir" — the whole consequence is a power conferred on someone else, which does nothing until exercised. A3 codes FREE here while A5 codes SOMEONE: c981 §3's conflation, replicated on a non-German shelf.
R4	Ley 39/2015 (ES)	art. 24(3)(a)	"En los casos de estimación por silencio administrativo, la resolución expresa posterior a la producción del acto sólo podrá dictarse de ser confirmatoria del mismo"	AUTO	PWR-LOSS	FREE	NONE	NOBODY	AUTHORITY	IN	c978's keeper in Spanish administrative law: the consequence is realised in the lapsing party's own later inability to decide otherwise. Nobody need do anything.
R5	Ley 39/2015 (ES)	art. 24(3)(b)	"En los casos de desestimación por silencio administrativo, la resolución expresa posterior al vencimiento del plazo se adoptará por la Administración sin vinculación alguna al sentido del silencio"	AUTO	NEITHER	RECOGNISED	NONE	SOMEONE	AUTHORITY	IN	The mirror of R4 and the reason the two poles are not symmetric: after negative silence NO power is lost, and the Administration must still act for anything to happen.
R6	Ley 39/2015 (ES)	art. 24(4)	"Los mismos producen efectos desde el vencimiento del plazo máximo en el que debe dictarse y notificarse la resolución expresa sin que la misma se haya expedido, y su existencia puede ser acreditada por cualquier medio de prueba admitido en Derecho, incluido el certificado acreditativo del silencio producido"	AUTO	PWR-LOSS	FREE	NONE	NOBODY	AUTHORITY	IN	The declared A5 tie-break instantiated: the consequence merely needs PROVING if contested, which is NOBODY. Also names a demandable dated artefact ("el interesado podrá pedirlo en cualquier momento") attached to a STATE, not to an act — consistent with c983's keeper.
R7	Ley 39/2015 (ES)	art. 25(1) opening	"el vencimiento del plazo máximo establecido sin que se haya dictado y notificado resolución expresa no exime a la Administración del cumplimiento de la obligación legal de resolver"	AUTO	DUTY-SELF	REQUIRED	NONE	SOMEONE	AUTHORITY	IN	c978's FRCP 37(c)(1) limb-2 shape in an administrative register: a duty on the lapsing party that survives its own lapse and must be collected.
R8	Ley 39/2015 (ES)	art. 25(1)(a)	"los interesados que hubieren comparecido podrán entender desestimadas sus pretensiones por silencio administrativo"	AUTO	PWR-OTHER	FREE	n/a	SOMEONE	AUTHORITY	IN	Same shape as R3, in ex officio procedures, and restricted to those who had appeared.
R9	Ley 39/2015 (ES)	art. 25(1)(b)	"En los procedimientos en que la Administración ejercite potestades sancionadoras ... se producirá la caducidad. En estos casos, la resolución que declare la caducidad ordenará el archivo de las actuaciones"	AUTO	PWR-LOSS	RECOGNISED	NONE	NOBODY	AUTHORITY	IN	The sharpest row in the corpus: "se producirá" is automatic, and the resolution DECLARES rather than produces. A self-executing lapse with a separate declaratory duty bolted on at the same locus (see R10).
R10	Ley 39/2015 (ES)	art. 21(1) second paragraph	"En los casos de prescripción, renuncia del derecho, caducidad del procedimiento o desistimiento de la solicitud ... la resolución consistirá en la declaración de la circunstancia que concurra en cada caso, con indicación de los hechos producidos y las normas aplicables"	AUTO	DUTY-FORUM	REQUIRED	n/a	SOMEONE	AUTHORITY	IN	The declaratory limb, written in a DIFFERENT article from the lapse it declares — the opposite of the one-locus drafting c978/c981 found in FRCP 37(c)(1), FRCP 41(b) and UCC 124.
R11	Dir 2006/123/EC	Art. 13(4) first sentence	"Failing a response within the time period set or extended in accordance with paragraph 3, authorisation shall be deemed to have been granted."	AUTO	PWR-LOSS	FREE	NONE	NOBODY	AUTHORITY	IN	Supranational, non-tax, non-patent. Names no actor at all — c978's AUTO-limb tell.
X1	Dir 2006/123/EC	Art. 13(4) second sentence	"Different arrangements may nevertheless be put in place, where justified by overriding reasons relating to the public interest"	-	-	-	-	-	-	OUT	An ex ante derogation available to the Member State before any lapse, not a cure of a lapse that has happened. Excluded by the frozen Ablaufhemmung fence carried from c981.
X2	Dir 2006/123/EC	Art. 13(3) third and fourth sentences	"the time period may be extended once, by the competent authority, for a limited time. The extension and its duration shall be duly motivated and shall be notified to the applicant before the original period has expired."	-	-	-	-	-	-	OUT	P4's AT-RISK CANDIDATE, arriving from a register I did not expect it from: the party that will lapse may unilaterally extend the period that binds it. Killed by the frozen fence on the text's own words — "before the original period has expired" is Ablaufhemmung, not a cure. Same kill as AO § 171 at c981, different shelf.
X3	Dir 2006/123/EC	Art. 13(5)(c)	"where applicable, a statement that in the absence of a response within the period specified, the authorisation shall be deemed to have been granted"	-	-	-	-	-	-	OUT	A notice duty about a lapse rule, not a lapse-consequence provision. Recorded because it is the register telling the beneficiary in advance that the silence will bite — the disclosure limb c983 was looking for.
X4	Dir 2006/123/EC	recital 42	"Such different arrangements could include national rules according to which, in the absence of a response of the competent authority, the application is deemed to have been rejected, this rejection being open to challenge before the courts."	-	-	-	-	-	-	OUT	A recital, not operative text. Recorded because the EU legislature states the positive/negative split and its consequence — "open to challenge before the courts" — in the same words the frozen TERMS section predicted.
