# journal/LEDGER_STAMPS.tsv — schema stamp per ledger. Written by
# tools/ledgerpool.py (c994). The stamp is DERIVED from each file's header
# bytes, not asserted here: tools/ledgerpool.py pool re-derives it and
# refuses (STAMP-MISMATCH) if this file disagrees. Never trusted, only
# checked. origin=OBSERVED means the shape was read off the bytes after
# the fact; no cycle declared it in advance. Do NOT normalise the ledgers
# to agree with each other (c990: the migrating party is the drifting one).
path	family	stamp	ncols	origin	header_sha256	header_columns
journal/FETCH_c912.tsv	fetch	fetch-04-9e9bb291	4	OBSERVED	9e9bb2914500283c19f8f00ccb2438dbe44bbb89e7314b1c765ee5a1f838ff88	n,url,result,purpose
journal/FETCH_c913b.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c916.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c919.tsv	fetch	fetch-04-2698845f	4	OBSERVED	2698845f8d78d9f433f1b92b362dc91273256ffd43d0d5e46e50c7e49a622367	url,status,primary,used_for
journal/FETCH_c921.tsv	fetch	fetch-05-1e0640a4	5	OBSERVED	1e0640a4fc8f4a6fa517761fbc5f8ec4b76943724aaf60931d7e5779ef242712	n,code,bytes,url,outcome
journal/FETCH_c922.tsv	fetch	fetch-06-601df9f2	6	OBSERVED	601df9f26903b25cfce9c91532ce48c3e7592ac00565dd596a4b58b0fc3a3424	n,url,http,bytes,kind,outcome
journal/FETCH_c924.tsv	fetch	fetch-06-840b7d7c	6	OBSERVED	840b7d7cb7cadc9b2cfd9948b96985037b84a0f4942465a86f5e5c6ee6a0122c	n,register,url,method,result,what it gave
journal/FETCH_c939.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c940.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c942.tsv	fetch	fetch-NOHEADER	6	OBSERVED		(NO-HEADER-ROW)
journal/FETCH_c944.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c945.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c946.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c947.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c950.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c951.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
journal/FETCH_c954.tsv	fetch	fetch-07-1591626a	7	OBSERVED	1591626ab71f2ae4bbee75ad241eca40b5ce29a3b1a4b838de0dd29ec1e92430	seq,utc,status,http,bytes,url,note
